1,hamilton,44,HAM,Lewis,Hamilton,07/01/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
2,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
3,rosberg,6,ROS,Nico,Rosberg,27/06/1985,German,http://en.wikipedia.org/wiki/Nico_Rosberg
4,alonso,14,ALO,Fernando,Alonso,29/07/1981,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
5,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
6,nakajima,,NAK,Kazuki,Nakajima,11/01/1985,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
7,bourdais,,BOU,S̩bastien,Bourdais,28/02/1979,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
8,raikkonen,7,RAI,Kimi,R�_ikk̦nen,17/10/1979,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
9,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
10,glock,,GLO,Timo,Glock,18/03/1982,German,http://en.wikipedia.org/wiki/Timo_Glock
11,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,http://en.wikipedia.org/wiki/Takuma_Sato
12,piquet_jr,,PIQ,Nelson,Piquet Jr.,25/07/1985,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
13,massa,19,MAS,Felipe,Massa,25/04/1981,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
14,coulthard,,COU,David,Coulthard,27/03/1971,British,http://en.wikipedia.org/wiki/David_Coulthard
15,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
16,sutil,99,SUT,Adrian,Sutil,11/01/1983,German,http://en.wikipedia.org/wiki/Adrian_Sutil
17,webber,,WEB,Mark,Webber,27/08/1976,Australian,http://en.wikipedia.org/wiki/Mark_Webber
18,button,22,BUT,Jenson,Button,19/01/1980,British,http://en.wikipedia.org/wiki/Jenson_Button
19,davidson,,DAV,Anthony,Davidson,18/04/1979,British,http://en.wikipedia.org/wiki/Anthony_Davidson
20,vettel,5,VET,Sebastian,Vettel,03/07/1987,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
21,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
22,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
23,ralf_schumacher,,SCH,Ralf,Schumacher,30/06/1975,German,http://en.wikipedia.org/wiki/Ralf_Schumacher
24,liuzzi,,LIU,Vitantonio,Liuzzi,06/08/1980,Italian,http://en.wikipedia.org/wiki/Vitantonio_Liuzzi
25,wurz,,WUR,Alexander,Wurz,15/02/1974,Austrian,http://en.wikipedia.org/wiki/Alexander_Wurz
26,speed,,SPE,Scott,Speed,24/01/1983,American,http://en.wikipedia.org/wiki/Scott_Speed
27,albers,,ALB,Christijan,Albers,16/04/1979,Dutch,http://en.wikipedia.org/wiki/Christijan_Albers
28,markus_winkelhock,,WIN,Markus,Winkelhock,13/06/1980,German,http://en.wikipedia.org/wiki/Markus_Winkelhock
29,yamamoto,,YAM,Sakon,Yamamoto,09/07/1982,Japanese,http://en.wikipedia.org/wiki/Sakon_Yamamoto
30,michael_schumacher,,MSC,Michael,Schumacher,03/01/1969,German,http://en.wikipedia.org/wiki/Michael_Schumacher
31,montoya,,MON,Juan,Pablo Montoya,20/09/1975,Colombian,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya
32,klien,,KLI,Christian,Klien,07/02/1983,Austrian,http://en.wikipedia.org/wiki/Christian_Klien
33,monteiro,,TMO,Tiago,Monteiro,24/07/1976,Portuguese,http://en.wikipedia.org/wiki/Tiago_Monteiro
34,ide,,IDE,Yuji,Ide,21/01/1975,Japanese,http://en.wikipedia.org/wiki/Yuji_Ide
